EVENT_ID,DIVN,EVENTNAME,START_DTM,END_DTM,DISPLAY_START_DTM,DISPLAY_END_DTM,ALLOW_CHGS,CREATE_DATE,LAST_UPDATED_BY,LAST_UPDATE
1,1,Valerio,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Vancouver,2022-05-18 10:25:20
2,2,Mehalek,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Virginia Beach,2022-05-18 10:25:20
3,3,Plato,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Buffalo,2022-05-18 10:25:20
4,4,Codding,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Multan,2022-05-18 10:25:20
5,5,Ortrude,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,San Diego,2022-05-18 10:25:20
6,6,Joseph,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Francistown,2022-05-18 10:25:20
7,7,Lory,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Milan,2022-05-18 10:25:20
8,8,Sawtelle,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Tijuana,2022-05-18 10:25:20
9,9,Barbey,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Andorra la Vella,2022-05-18 10:25:20
10,10,Gabrielli,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Asunción,2022-05-18 10:25:20
11,11,Brackely,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Balikpapan,2022-05-18 10:25:20
12,12,Argus,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Omsk,2022-05-18 10:25:20
13,13,Malina,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Brisbane,2022-05-18 10:25:20
14,14,Marisa,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Asunción,2022-05-18 10:25:20
15,15,Sprage,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Roseau,2022-05-18 10:25:20
16,16,Dreda,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Pattaya,2022-05-18 10:25:20
17,17,Carolin,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Stockholm,2022-05-18 10:25:20
18,18,Damarra,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Bratsk,2022-05-18 10:25:20
19,19,Sholley,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Hai Phong,2022-05-18 10:25:20
20,20,Keily,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Ulan Bator,2022-05-18 10:25:20
21,21,Bach,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Hiroshima,2022-05-18 10:25:20
22,22,Ietta,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Honolulu,2022-05-18 10:25:20
23,23,Malina,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Fort-de-France,2022-05-18 10:25:20
24,24,Sperling,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Vladivostok,2022-05-18 10:25:20
25,25,Juan,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Kansas City,2022-05-18 10:25:20
26,26,Fredi,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Fukuoka,2022-05-18 10:25:20
27,27,Jacobah,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Oklahoma City,2022-05-18 10:25:20
28,28,Lemuela,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Banjul,2022-05-18 10:25:20
29,29,Carleen,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Algiers,2022-05-18 10:25:20
30,30,Rustice,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Port Blair,2022-05-18 10:25:20
31,31,Pyle,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Dongguan,2022-05-18 10:25:20
32,32,Lareena,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Nanjing,2022-05-18 10:25:20
33,33,An,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Gaziantep,2022-05-18 10:25:20
34,34,Sabella,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Libreville,2022-05-18 10:25:20
35,35,Harned,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Forked River,2022-05-18 10:25:20
36,36,Chrystel,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Port of Spain,2022-05-18 10:25:20
37,37,Sammons,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Ndola,2022-05-18 10:25:20
38,38,Lesley,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Copenhagen,2022-05-18 10:25:20
39,39,Hurley,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,City of San Marino,2022-05-18 10:25:20
40,40,Barney,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Lviv,2022-05-18 10:25:20
41,41,Lea,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Kuwait City,2022-05-18 10:25:20
42,42,Kosey,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Faisalabad,2022-05-18 10:25:20
43,43,Norrie,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Adelaide,2022-05-18 10:25:20
44,44,Screens,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,N,2022-05-18 10:25:20,Honiara,2022-05-18 10:25:20
45,45,Dom,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Seattle,2022-05-18 10:25:20
46,46,Craggie,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Addis Ababa,2022-05-18 10:25:20
47,47,Janene,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,St. Louis,2022-05-18 10:25:20
48,48,Monaco,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,2022-05-18 10:25:20,Y,2022-05-18 10:25:20,Nicosia,2022-05-18 10:25:20
